Anon Student Id	Session Id	Transaction Id	Time	Time Zone	Student Response Type	Tutor Response Type	Level (Domain)	Problem Name	Problem Start Time	Step Name	Selection	Action	Input	Feedback Text	Outcome	CF (Problem Context)	KC (Single-KC)	KC (field)	Source Log File
8128648f-010e-480d-974a-085a9fb71db6	84ce819f-6a2a-463c-b048-1c5c11831d7f	716f9871-f80a-4e59-b3a7-9ab6a676c2f8	11/11/2025 11:32:42	UTC	ATTEMPT	HINT_MSG	frac_arith_DIPL_2frac_500probs	solve_triangle/ASA: A=30, C=60, a=10	11/11/2025 11:32:41	normalize_inputs	normalize_inputs	input change	OK		HINT		Single-KC	normalize_inputs	frac_arith_DIPL_2frac_500probs_2025-11-11-11-32-40.txt
70bc69da-1fdd-4d86-8913-e47c53d90520	236e166c-6dec-4f53-abee-25ed2c8216f3	27a4392c-9c33-497b-8d09-1e8bf4506617	11/11/2025 12:02:01	UTC	ATTEMPT	HINT_MSG	frac_arith_DIPL_2frac_500probs	solve_triangle/ASA: A=30, C=60, a=10	11/11/2025 12:02:00	normalize_inputs	normalize_inputs	input change	OK		HINT		Single-KC	normalize_inputs	frac_arith_DIPL_2frac_500probs_2025-11-11-12-01-59.txt
71cd179c-b83f-4683-8a5e-b94d55983cf4	f7894eeb-a6ac-4d76-8b09-cd6ea8c9f523	325d7395-8e7c-4e72-94dd-5853ae9a9eb8	11/11/2025 12:14:37	UTC	ATTEMPT	HINT_MSG	frac_arith_DIPL_2frac_500probs	solve_triangle/SAS: a=7, b=8, C=60.	11/11/2025 12:14:36	normalize_inputs	normalize_inputs	input change	OK		HINT		Single-KC	normalize_inputs	frac_arith_DIPL_2frac_500probs_2025-11-11-12-14-35.txt
1ddd8893-a573-4cac-8e27-0d919a3fb433	fc9e43d3-4fd6-454c-9809-7457d6ad21b5	2928cf39-5903-4687-9425-de708738d2da	11/11/2025 12:24:47	UTC	ATTEMPT	HINT_MSG	frac_arith_DIPL_2frac_500probs	solve_triangle/ASA: A=30, C=60, a=10	11/11/2025 12:24:46	normalize_inputs	normalize_inputs	input change	OK		HINT		Single-KC	normalize_inputs	frac_arith_DIPL_2frac_500probs_2025-11-11-12-24-45.txt
71d6a6bd-48c1-4fd4-9aa3-3656b787f9c6	04da0e30-c2a8-4da1-ac81-9fbd3d98d522	22480523-5fc2-41d6-bef4-978dbbf28436	11/11/2025 12:25:42	UTC	ATTEMPT	HINT_MSG	frac_arith_DIPL_2frac_500probs	solve_triangle/Right triangle: a=3, b=4	11/11/2025 12:25:41	normalize_inputs	normalize_inputs	input change	OK		HINT		Single-KC	normalize_inputs	frac_arith_DIPL_2frac_500probs_2025-11-11-12-25-40.txt
a35527f4-b9e0-4cd4-a965-46d596d7e7b3	d309f920-fbf4-4b6a-867b-f960b4ae2051	0b2e2f18-aa92-4653-82d0-78bddfbc30e4	11/15/2025 05:03:07	UTC	ATTEMPT	HINT_MSG	frac_arith_DIPL_2frac_500probs	solve_triangle/Right triangle: a=3, b=4	11/15/2025 05:03:06	normalize_inputs	normalize_inputs	input change	OK		HINT		Single-KC	normalize_inputs	frac_arith_DIPL_2frac_500probs_2025-11-15-05-03-05.txt
8921693e-1d38-4a73-a18b-976e7b770571	267f053f-32e2-4b1d-a456-a18a9e794e51	cd81719d-8aff-4922-a7c9-a0f71d74aaa0	11/15/2025 05:13:16	UTC	ATTEMPT	HINT_MSG	frac_arith_DIPL_2frac_500probs	solve_triangle/Right triangle: a=3, b=4	11/15/2025 05:13:15	normalize_inputs	normalize_inputs	input change	OK		HINT		Single-KC	normalize_inputs	frac_arith_DIPL_2frac_500probs_2025-11-15-05-13-14.txt
098180b2-c20b-4670-9a65-a06e3bc52d7c	45b1aed6-45fd-46ba-a303-fc0bbcb68812	ba426359-a9f3-4103-a68e-64232461d46f	11/15/2025 05:29:49	UTC	ATTEMPT	HINT_MSG	frac_arith_DIPL_2frac_500probs	solve_triangle/SAS: a=7, b=8, C=60.	11/15/2025 05:29:48	normalize_inputs	normalize_inputs	input change	OK		HINT		Single-KC	normalize_inputs	frac_arith_DIPL_2frac_500probs_2025-11-15-05-29-47.txt
927c1e2a-bbbc-4270-ac72-d880cd745f59	83cafde9-e06b-4c9c-a864-a7a762988fd5	dc5db9c3-d39a-4307-86a6-7b293d5d3ebb	11/15/2025 05:30:19	UTC	ATTEMPT	HINT_MSG	frac_arith_DIPL_2frac_500probs	solve_triangle/Right triangle: a=3, b=4	11/15/2025 05:30:18	normalize_inputs	normalize_inputs	input change	OK		HINT		Single-KC	normalize_inputs	frac_arith_DIPL_2frac_500probs_2025-11-15-05-30-17.txt
94583f9f-f664-4381-9860-988177ff1fa5	6da12474-361d-4c68-b16d-39d6bff15d52	6987071d-be65-4f6d-9ca7-cf04e7e024a9	11/15/2025 05:31:11	UTC	ATTEMPT	HINT_MSG	frac_arith_DIPL_2frac_500probs	solve_triangle/SAS: a=7, b=8, C=60.	11/15/2025 05:31:10	normalize_inputs	normalize_inputs	input change	OK		HINT		Single-KC	normalize_inputs	frac_arith_DIPL_2frac_500probs_2025-11-15-05-31-09.txt
6aad7cb3-5a62-4d26-99f2-8c88ef09a225	8186495d-4451-43ba-8c4b-ebaaad026c9c	f82da86b-ebe3-444d-959b-77866774ac71	11/15/2025 05:34:48	UTC	ATTEMPT	HINT_MSG	frac_arith_DIPL_2frac_500probs	solve_triangle/Right triangle: a=3, b=4	11/15/2025 05:34:47	normalize_inputs	normalize_inputs	input change	OK		HINT		Single-KC	normalize_inputs	frac_arith_DIPL_2frac_500probs_2025-11-15-05-34-46.txt
b095b517-963d-413a-92bc-61daee090caa	cf69d906-bedb-4b6b-9652-0612829e8d81	c331a520-6bd1-4998-ab8c-386efabf43ea	11/15/2025 05:38:19	UTC	ATTEMPT	HINT_MSG	frac_arith_DIPL_2frac_500probs	solve_triangle/SAS: a=7, b=8, C=60.	11/15/2025 05:38:18	normalize_inputs	normalize_inputs	input change	OK		HINT		Single-KC	normalize_inputs	frac_arith_DIPL_2frac_500probs_2025-11-15-05-38-17.txt
8623921a-3070-4b8e-9640-4e6bba47a877	fb64b30d-bdfe-410e-a5c3-b7cf31ec7937	a557f407-1a8c-44a7-90ed-d1f8c93bf1ef	11/15/2025 05:38:43	UTC	ATTEMPT	HINT_MSG	frac_arith_DIPL_2frac_500probs	solve_triangle/SAS: a=7, b=8, C=60.	11/15/2025 05:38:42	normalize_inputs	normalize_inputs	input change	OK		HINT		Single-KC	normalize_inputs	frac_arith_DIPL_2frac_500probs_2025-11-15-05-38-41.txt
